specimen_label,site_name,date_cest,method,method_repeat,sex,stage,id_confidence,suborder,family,subfamily,genus,species
MOL03 20211002 N2 C001,MOL03,2021-10-02,Net,2,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Gomphoceridius,Gomphoceridius brevipennis
TOR06 20210919 N1 C002,TOR06,2021-09-19,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR06 20210919 H1 C002,TOR06,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
MOL04 20211002 H1 C002,MOL04,2021-10-02,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
MOL08 20211002 N1 C001,MOL08,2021-10-02,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
MOL06 20211002 N1 C004,MOL06,2021-10-02,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus biguttulus
TOR08 20210919 N1 C002,TOR08,2021-09-19,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TAV07 20211006 H1 C001,TAV07,2021-10-06,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20211005 H1 C015,TOR04,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20211005 N2 C007,TOR04,2021-10-05,Net,2,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR05 20211005 H1 C004,TOR05,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR05 20211005 N1 C002,TOR05,2021-10-05,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR09 20210919 N1 C011,TOR09,2021-09-19,Net,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Stauroderus,Stauroderus scalaris
TOR04 20211005 H1 C011,TOR04,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20211005 H1 C009,TOR04,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20211005 H1 C002,TOR04,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20211005 H1 C013,TOR04,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR06 20211005 H1 C001,TOR06,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR06 20210919 H1 C001,TOR06,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR06 20210919 N2 C001,TOR06,2021-09-19,Net,2,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR02 20210919 H1 E001,TOR02,2021-09-19,Hand,1,Female,Adult,Confirmed,Ensifera,Tettigoniidae,Tettigoniinae,Tessellana,Tessellana tessellata
TOR06 20210919 H1 C005,TOR06,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV07 20211006 H1 C002,TAV07,2021-10-06,Hand,1,Female,Nymph,Confirmed,Caelifera,Acrididae,Gomphocerinae,Pseudochorthippus,
TOR09 20211005 H1 C003,TOR09,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Stauroderus,Stauroderus scalaris
MOL06 20211002 N1 C001,MOL06,2021-10-02,Net,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR09 20211005 H1 C002,TOR09,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR09 20211005 H1 C004,TOR09,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV09 20211006 N1 C006,TAV09,2021-10-06,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus albomarginatus
TAV09 20211006 H1 C020,TAV09,2021-10-06,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus albomarginatus
TOR09 20211005 H1 C007,TOR09,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR09 20211005 H1 C006,TOR09,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR06 20211005 H1 C004,TOR06,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR06 20211005 N1 C003,TOR06,2021-10-05,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV09 20211006 H1 C011,TAV09,2021-10-06,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TAV09 20211006 H1 C002,TAV09,2021-10-06,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Stauroderus,Stauroderus scalaris
TAV09 20211006 H1 C022,TAV09,2021-10-06,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Stauroderus,Stauroderus scalaris
TOR05 20211005 H1 C009,TOR05,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Pseudochorthippus,Pseudochorthippus parallelus
TAV09 20211006 N1 C014,TAV09,2021-10-06,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Pseudochorthippus,Pseudochorthippus parallelus
TAV09 20211006 N1 C010,TAV09,2021-10-06,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Pseudochorthippus,Pseudochorthippus parallelus
TOR04 20211005 H1 C016,TOR04,2021-10-05,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Pseudochorthippus,Pseudochorthippus parallelus
TOR09 20211005 H1 C001,TOR09,2021-10-05,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
